Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population
144,California,Cities,Parlier,1,1,0,0,0,0,0,1,0,1,0,0,"15,356"
145,California,Cities,Pasadena,3,1,2,0,0,0,0,3,1,0,1,1,"143,448"
146,California,Cities,Perris,1,1,0,0,0,0,0,1,1,0,0,0,"79,238"
147,California,Cities,Petaluma,1,1,0,0,0,0,0,1,0,0,1,0,"61,289"
148,California,Cities,Pinole,1,1,0,0,0,0,0,1,0,1,0,0,"19,509"
149,California,Cities,Pittsburg,1,1,0,0,0,0,0,1,0,0,1,0,"73,462"
150,California,Cities,Placentia,5,3,1,1,0,0,0,5,0,2,1,2,"52,324"
151,California,Cities,Pleasanton,1,1,0,0,0,0,0,1,0,1,0,0,"84,992"
152,California,Cities,Poway,1,0,1,0,0,0,0,1,0,0,0,1,"50,346"
153,California,Cities,Rancho Cucamonga,2,2,0,0,0,0,0,2,0,0,0,2,"179,114"
154,California,Cities,Rancho Santa Margarita,1,1,0,0,0,0,0,1,0,1,0,0,"48,918"
155,California,Cities,Red Bluff,2,2,0,0,0,0,0,2,0,1,0,1,"14,315"
156,California,Cities,Redding,9,9,0,0,0,0,0,9,1,3,3,2,"92,068"
157,California,Cities,Redlands,1,1,0,0,0,0,0,1,0,0,1,0,"71,954"
158,California,Cities,Redwood City,2,1,1,0,0,0,0,2,2,0,0,0,"88,161"
159,California,Cities,Rialto,1,1,0,0,0,0,0,1,0,1,0,0,"104,173"
160,California,Cities,Richmond,12,11,1,0,0,0,0,12,3,3,6,0,"110,982"
161,California,Cities,Rio Vista,1,0,1,0,0,0,0,1,0,1,,0,"9,268"
162,California,Cities,Ripon,1,1,0,0,0,0,0,1,0,0,1,0,"15,878"
163,California,Cities,Riverside,10,9,1,0,0,0,0,10,0,2,5,3,"331,022"
164,California,Cities,Roseville,5,5,0,0,0,0,0,5,2,1,2,0,"137,706"
165,California,Cities,Sacramento,11,4,1,6,0,0,0,11,1,5,1,4,"507,037"
166,California,Cities,Salinas,1,0,0,1,0,0,0,1,,0,0,1,"158,590"
167,California,Cities,San Bernardino,4,4,0,0,0,0,0,4,1,3,0,0,"217,986"
168,California,Cities,San Bruno,1,0,0,1,0,0,0,1,1,0,0,0,"43,621"
169,California,Cities,San Clemente,2,1,0,1,0,0,0,2,0,0,2,0,"65,509"
170,California,Cities,San Diego,40,20,8,12,0,0,0,40,10,11,8,11,"1,436,495"
171,California,Cities,San Dimas,1,0,1,0,0,0,0,1,1,0,0,0,"34,463"
172,California,Cities,San Francisco,68,41,8,17,0,0,2,68,20,22,11,15,"889,282"
173,California,Cities,San Gabriel,2,2,0,0,0,0,0,2,1,1,0,0,"40,637"
174,California,Cities,San Jacinto,2,2,0,0,0,0,0,2,0,1,0,1,"48,830"
175,California,Cities,San Jose,37,22,6,9,0,0,0,37,7,10,10,10,"1,047,305"
176,California,Cities,San Leandro,2,1,1,0,0,0,0,2,1,1,0,0,"91,359"
177,California,Cities,San Luis Obispo,6,4,0,0,1,1,0,6,1,1,1,3,"47,885"
178,California,Cities,San Marcos,1,1,0,0,0,0,0,1,0,1,0,0,"98,088"
179,California,Cities,San Mateo,1,0,0,1,0,0,0,1,0,1,0,0,"105,839"
180,California,Cities,San Pablo,1,0,1,0,0,0,0,1,0,1,0,0,"31,403"
181,California,Cities,San Rafael,4,3,1,0,0,0,0,4,2,1,1,0,"59,254"
182,California,Cities,San Ramon,1,0,1,0,0,0,0,1,1,0,0,0,"76,569"
183,California,Cities,Santa Ana,13,6,6,1,0,0,0,13,1,2,8,2,"335,403"
184,California,Cities,Santa Barbara,2,2,0,0,0,0,0,2,2,0,0,0,"92,630"
185,California,Cities,Santa Clarita,1,0,0,1,0,0,0,1,0,0,0,1,"216,589"
186,California,Cities,Santa Cruz,10,5,2,3,0,0,0,9,2,4,1,2,"65,680"
187,California,Cities,Santa Maria,1,1,0,0,0,0,0,1,0,1,0,0,"108,100"
188,California,Cities,Santa Monica,1,1,0,0,0,0,0,1,0,0,1,0,"92,674"
189,California,Cities,Santa Rosa,6,2,1,3,0,0,0,6,0,1,3,2,"176,325"
190,California,Cities,Santee,1,1,0,0,0,0,0,1,0,0,0,1,"58,781"
191,California,Cities,Scotts Valley,1,0,0,1,0,0,0,1,0,1,0,0,"11,998"
192,California,Cities,Seaside,1,1,0,0,0,0,0,1,0,0,0,1,"34,303"
193,California,Cities,Simi Valley,7,4,2,1,0,0,0,7,1,2,2,2,"127,222"
194,California,Cities,South Gate,1,1,0,0,0,0,0,1,0,1,0,0,"95,570"
195,California,Cities,South Lake Tahoe,5,0,2,3,0,0,0,5,,3,2,0,"22,060"
196,California,Cities,South Pasadena,1,1,0,0,0,0,0,1,1,0,0,0,"25,924"
197,California,Cities,Stockton,4,2,1,1,0,0,0,4,0,2,1,1,"313,158"
198,California,Cities,Sunnyvale,4,2,2,0,0,0,0,4,0,1,0,3,"155,637"
199,California,Cities,Thousand Oaks,1,1,0,0,0,0,0,1,1,0,0,0,"129,319"
200,California,Cities,Torrance,2,0,0,2,0,0,0,2,1,1,0,0,"146,968"
201,California,Cities,Tracy,2,0,0,2,0,0,0,2,1,0,0,1,"91,988"
202,California,Cities,Turlock,2,1,0,1,0,0,0,2,0,1,1,0,"74,267"
203,California,Cities,Union City,1,1,0,0,0,0,0,1,0,0,0,1,"76,198"
204,California,Cities,Upland,2,2,0,0,0,0,0,2,0,1,1,0,"77,453"
205,California,Cities,Vallejo,1,1,0,0,0,0,0,1,0,1,0,0,"122,974"
206,California,Cities,Ventura,4,4,0,0,0,0,0,4,2,0,0,2,"111,272"
207,California,Cities,Victorville,5,3,0,0,2,0,0,5,0,2,1,2,"123,343"
208,California,Cities,Vista,1,0,0,1,0,0,0,1,0,0,1,0,"102,742"
209,California,Cities,Walnut Creek,1,1,0,0,0,0,0,1,0,1,0,0,"70,587"
210,California,Cities,West Covina,3,3,0,0,0,0,0,3,1,1,0,1,"107,806"
211,California,Cities,West Hollywood,12,6,1,4,0,0,1,12,3,5,4,0,"37,478"
212,California,Cities,Williams,1,0,0,1,0,0,0,1,1,0,0,0,"5,380"
213,California,Cities,Yucaipa,1,1,0,0,0,0,0,1,0,1,0,0,"54,001"
214,California,Cities,Yucca Valley,1,1,0,0,0,0,0,1,0,1,0,0,"21,895"
215,California,Universities and Colleges,California State University: Fresno,1,1,0,0,0,0,0,1,1,0,0,0,"26,380"
216,California,Universities and Colleges,California State University: Northridge,4,1,2,1,0,0,0,4,0,1,1,2,"41,909"
217,California,Universities and Colleges,Foothill-De Anza College,1,0,0,0,0,0,1,1,1,0,0,0,"63,210"
218,California,Universities and Colleges,Humboldt State University,3,1,1,0,0,1,0,3,0,0,0,3,"9,171"
219,California,Universities and Colleges,San Francisco State University,2,0,1,1,0,0,0,2,0,0,1,1,"33,036"
220,California,Universities and Colleges,State Center Community College District,1,0,0,1,0,0,0,1,0,1,,0,"60,065"
221,California,Universities and Colleges,University of California: Davis,1,0,0,1,0,0,0,1,0,1,0,0,"38,778"
222,California,Universities and Colleges,University of California: Los Angeles,3,1,1,1,0,0,0,3,1,1,0,1,"46,298"
223,California,Universities and Colleges,University of California: San Diego,3,3,0,0,0,0,0,3,0,0,2,1,"36,785"
224,California,Universities and Colleges,University of California: Santa Barbara,1,0,0,1,0,0,0,1,0,0,0,1,"25,833"
225,California,Metropolitan Counties,El Dorado,1,1,0,0,0,0,0,1,0,0,1,0,
226,California,Metropolitan Counties,Fresno,1,1,0,0,0,0,0,1,0,0,1,0,
227,California,Metropolitan Counties,Imperial,1,1,0,0,0,0,0,1,0,1,0,0,
228,California,Metropolitan Counties,Kern,4,3,1,0,0,0,0,4,1,2,1,0,
229,California,Metropolitan Counties,Los Angeles,19,9,1,7,0,0,2,19,5,7,5,2,
230,California,Metropolitan Counties,Monterey,1,0,0,1,0,0,0,1,1,0,0,0,
231,California,Metropolitan Counties,Napa,1,1,0,0,0,0,0,1,0,1,0,0,
232,California,Metropolitan Counties,Orange,1,1,0,0,0,0,0,1,1,0,0,0,
233,California,Metropolitan Counties,Riverside,3,2,0,1,0,0,0,3,0,1,2,0,
234,California,Metropolitan Counties,Sacramento,4,3,1,0,0,0,0,4,2,2,0,0,
235,California,Metropolitan Counties,San Bernardino,1,1,0,0,0,0,0,1,0,1,0,0,
236,California,Metropolitan Counties,San Diego,6,2,1,3,0,0,0,6,0,4,0,2,
237,California,Metropolitan Counties,San Mateo,3,1,0,1,1,0,0,3,2,0,1,0,
238,California,Metropolitan Counties,Santa Clara,7,2,2,2,1,0,0,7,2,0,4,1,
239,California,Metropolitan Counties,Santa Cruz,13,6,5,2,0,0,0,13,3,3,4,3,
240,California,Metropolitan Counties,Solano,5,3,0,2,0,0,0,5,2,2,,1,
241,California,Metropolitan Counties,Ventura,1,0,0,1,0,0,0,1,1,0,0,0,
242,California,Metropolitan Counties,Yuba,4,3,0,1,0,0,0,4,2,1,1,0,
243,California,Nonmetropolitan Counties,Calaveras,1,1,0,0,0,0,0,1,0,1,0,0,
244,California,Nonmetropolitan Counties,Lassen,1,1,0,0,0,0,0,1,0,0,1,0,
245,California,Nonmetropolitan Counties,Mendocino,2,2,0,0,0,0,0,2,2,0,0,0,
246,California,Other Agencies,California State Fair,1,0,0,0,0,0,1,1,0,0,1,0,
247,California,Other Agencies,Los Angeles Transportation Services Bureau,3,2,0,1,0,0,0,3,0,1,1,1,
248,California,Other Agencies,Port of San Diego Harbor,3,2,0,1,0,0,0,3,0,2,1,,
249,California,Other Agencies,San Francisco Bay Area Rapid Transit:  Alameda County,1,1,0,0,0,0,0,1,0,1,0,0,
250,California,Other Agencies,San Francisco Bay Area Rapid Transit:  Contra Costa County,2,1,0,1,0,0,0,1,0,0,1,0,
251,California,Other Agencies,Santa Clara Transit District,1,1,0,0,0,0,0,1,1,0,0,0,
252,California,Other Agencies,Twin Rivers Unified School District,1,1,0,0,0,0,0,1,0,1,0,0,
253,Colorado,Cities,Aurora,10,8,2,0,0,0,0,10,2,4,2,2,"324,276"
254,Colorado,Cities,Boulder,2,2,0,0,0,0,0,2,1,0,0,1,"108,380"
255,Colorado,Cities,Brighton,4,2,0,2,0,0,0,3,0,0,1,2,"40,696"
256,Colorado,Cities,Canon City,2,2,0,0,0,0,0,2,0,2,0,0,"16,557"
257,Colorado,Cities,Centennial,5,2,1,2,0,0,0,5,2,1,1,1,"111,646"
258,Colorado,Cities,Colorado Springs,10,7,3,0,0,0,0,10,1,4,2,3,"471,124"
259,Colorado,Cities,Commerce City,1,1,0,0,0,0,0,1,0,1,0,0,"57,474"
260,Colorado,Cities,Denver,30,15,3,8,1,0,3,29,4,12,8,5,"720,745"
261,Colorado,Cities,Fort Collins,5,4,0,1,0,0,0,5,2,2,0,1,"168,163"
262,Colorado,Cities,Golden,1,0,0,1,0,0,0,1,0,0,0,1,"20,768"
263,Colorado,Cities,Grand Junction,2,2,0,0,0,0,0,2,1,1,0,0,"62,974"
264,Colorado,Cities,Lafayette,2,1,0,1,0,0,0,2,1,1,0,0,"28,914"
265,Colorado,Cities,Lone Tree,1,1,0,0,0,0,0,1,0,0,1,0,"13,933"
266,Colorado,Cities,Longmont,2,2,0,0,0,0,0,2,0,1,0,1,"95,217"
267,Colorado,Cities,Louisville,1,1,0,0,0,0,0,1,0,0,0,1,"21,545"
268,Colorado,Cities,Rifle,2,2,0,0,0,0,0,2,0,1,1,0,"9,711"
269,Colorado,Cities,Silverthorne,1,0,1,0,0,0,0,1,0,0,1,0,"4,775"
270,Colorado,Cities,Sterling,1,1,0,0,0,0,0,1,0,0,0,1,"13,928"
271,Colorado,Cities,Trinidad,1,1,0,0,0,0,0,1,1,0,0,0,"7,947"
272,Colorado,Cities,Woodland Park,1,1,0,0,0,0,0,1,0,1,0,0,"7,709"
273,Colorado,Universities and Colleges,Auraria Higher Education Center4,1,1,0,0,0,0,0,1,0,0,1,0,
274,Colorado,Universities and Colleges,"Colorado State University, Fort Collins",3,1,2,0,0,0,0,3,0,3,0,0,"36,966"
275,Colorado,Universities and Colleges,University of Colorado: Boulder,2,0,0,2,0,0,0,2,0,0,2,0,"37,921"
276,Colorado,Universities and Colleges,University of Colorado: Colorado Springs,2,0,0,2,0,0,0,2,0,0,2,0,"16,743"
277,Colorado,Metropolitan Counties,Adams,1,1,0,0,0,0,0,1,1,0,0,0,
278,Colorado,Metropolitan Counties,Arapahoe,7,5,1,1,0,0,0,7,1,1,0,5,
279,Colorado,Metropolitan Counties,Boulder,1,1,0,0,0,0,0,1,0,0,1,0,
280,Colorado,Metropolitan Counties,El Paso,3,2,1,0,0,0,0,3,1,2,0,0,
281,Colorado,Metropolitan Counties,Jefferson,4,3,0,0,1,0,0,4,1,2,1,0,
282,Colorado,Metropolitan Counties,Larimer,5,4,0,1,0,0,0,5,2,1,1,1,
283,Colorado,Metropolitan Counties,Mesa,1,0,0,1,0,0,0,1,0,0,1,0,
284,Colorado,Nonmetropolitan Counties,Archuleta,1,0,0,1,0,0,0,1,0,0,0,1,
285,Colorado,Nonmetropolitan Counties,Custer,1,0,0,1,0,0,0,1,0,1,0,0,
286,Colorado,Nonmetropolitan Counties,Logan,1,0,1,0,0,0,0,1,0,0,1,0,
287,Colorado,Nonmetropolitan Counties,Montezuma,1,1,0,0,0,0,0,1,0,0,1,0,
288,Colorado,Nonmetropolitan Counties,Summit,4,3,1,0,0,0,0,4,2,1,0,1,
289,Colorado,Nonmetropolitan Counties,Washington,1,1,0,0,0,0,0,1,0,0,1,0,
290,Connecticut,Cities,Berlin,1,1,0,0,0,0,0,1,0,1,0,0,"20,593"
