Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,agency_with_state_clean,lon,lat
125,California,Cities,Menifee,2,2,0,0,0,0,0,2,2,0,0,0,92540,"Menifee, California","Menifee, California",-117.185294,33.6971468
126,California,Cities,Modesto,7,2,1,2,0,2,0,7,1,1,4,1,215822,"Modesto, California","Modesto, California",-120.9968782,37.63909719999999
127,California,Cities,Monterey,2,2,0,0,0,0,0,2,0,1,1,0,28744,"Monterey, California","Monterey, California",-121.8946761,36.6002378
128,California,Cities,Moreno Valley,1,1,0,0,0,0,0,1,1,0,0,0,209145,"Moreno Valley, California","Moreno Valley, California",-117.2296717,33.9424658
129,California,Cities,Morro Bay,1,0,0,1,0,0,0,1,NA,1,0,0,10692,"Morro Bay, California","Morro Bay, California",-120.8499924,35.3659445
130,California,Cities,Mountain View,1,1,0,0,0,0,0,1,0,0,1,0,82518,"Mountain View, California","Mountain View, California",-122.0838511,37.3860517
131,California,Cities,Newark,1,1,0,0,0,0,0,1,0,0,1,0,48276,"Newark, California","Newark, California",-122.0383968,37.5299765
132,California,Cities,Newport Beach,4,1,0,2,0,0,1,4,3,1,0,0,86276,"Newport Beach, California","Newport Beach, California",-117.9298493,33.6188829
133,California,Cities,Norwalk,3,3,0,0,0,0,0,3,0,0,2,1,106158,"Norwalk, California","Norwalk, California",-118.081733,33.9022367
134,California,Cities,Oakland,15,3,5,5,1,0,1,15,3,3,5,4,430230,"Oakland, California","Oakland, California",-122.2711639,37.8043514
135,California,Cities,Oceanside,2,2,0,0,0,0,0,2,1,0,0,1,177464,"Oceanside, California","Oceanside, California",-117.3794834,33.1958696
136,California,Cities,Orange,2,2,0,0,0,0,0,2,1,1,0,0,141108,"Orange, California","Orange, California",-117.8531007,33.7879139
137,California,Cities,Oroville,1,1,0,0,0,0,0,1,0,0,1,0,19186,"Oroville, California","Oroville, California",-121.556359,39.5137752
138,California,Cities,Oxnard,2,0,1,1,0,0,0,2,0,1,1,0,211737,"Oxnard, California","Oxnard, California",-119.1770516,34.1975048
139,California,Cities,Pacifica,3,0,1,2,0,0,0,3,0,0,2,1,39339,"Pacifica, California","Pacifica, California",-122.4869194,37.6138253
140,California,Cities,Palmdale,1,1,0,0,0,0,0,1,0,1,0,0,158177,"Palmdale, California","Palmdale, California",-118.1164613,34.5794343
