State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,lon,lat
California,Cities,San Diego,35,16,7,12,0,0,0,35,7,10,6,12,1413414,"San Diego, California",-117.1610838,32.715738
California,Cities,San Fernando,2,0,1,1,0,0,0,2,1,0,0,1,25194,"San Fernando, California",NA,NA
California,Cities,San Francisco2,37,11,7,14,0,1,4,36,9,12,10,5,871155,"San Francisco2, California",-122.4194155,37.7749295
California,Cities,San Jose,19,10,7,2,0,0,0,19,5,1,4,9,1041844,"San Jose, California",-121.8863286,37.3382082
California,Cities,San Leandro,22,15,3,3,1,0,0,22,4,5,5,8,91870,"San Leandro, California",NA,NA
California,Cities,San Luis Obispo,2,2,0,0,0,0,0,2,2,0,0,0,47774,"San Luis Obispo, California",NA,NA
California,Cities,San Marcos,2,1,1,0,0,0,0,2,1,0,0,1,94840,"San Marcos, California",-117.1661449,33.1433723
California,Cities,San Mateo,2,0,1,1,0,0,0,2,0,1,0,1,104802,"San Mateo, California",-122.3255254,37.5629917
California,Cities,San Rafael,1,1,0,0,0,0,0,1,0,0,0,1,59435,"San Rafael, California",NA,NA
California,Cities,San Ramon,4,4,0,0,0,0,0,4,0,0,0,4,76901,"San Ramon, California",-121.9780153,37.7799273
California,Cities,Santa Ana,6,2,3,1,0,0,0,6,3,2,0,1,337419,"Santa Ana, California",-117.867653,33.7454725
California,Cities,Santa Clarita,10,6,4,0,0,0,0,10,3,1,2,4,219611,"Santa Clarita, California",-118.542586,34.3916641
California,Cities,Santa Cruz,12,7,3,2,0,0,0,12,4,1,2,5,64969,"Santa Cruz, California",-122.0307963,36.9741171
California,Cities,Santa Monica,3,1,1,1,0,0,0,3,0,2,1,0,93921,"Santa Monica, California",NA,NA
California,Cities,Santa Rosa,1,0,0,1,0,0,0,1,1,0,0,0,176383,"Santa Rosa, California",NA,NA
California,Cities,Santee,1,0,1,0,0,0,0,1,0,0,0,1,58651,"Santee, California",-116.9739167,32.8383828
California,Cities,Sebastopol,1,1,0,0,0,0,0,1,0,1,0,0,7734,"Sebastopol, California",-122.8238806,38.4021359
California,Cities,Simi Valley,2,1,1,0,0,0,0,2,0,1,0,1,127252,"Simi Valley, California",-118.781482,34.2694474
California,Cities,Solvang,1,0,0,1,0,0,0,1,0,0,1,0,5844,"Solvang, California",-120.1376481,34.5958201
California,Cities,Sonoma,1,1,0,0,0,0,0,1,1,0,0,0,11113,"Sonoma, California",-122.4580356,38.291859
California,Cities,Sonora,1,1,0,0,0,0,0,1,0,0,0,1,4802,"Sonora, California",-120.3821724,37.9829496
California,Cities,South Gate,2,0,1,1,0,0,0,2,0,0,1,1,96791,"South Gate, California",-118.2120161,33.954737
California,Cities,South San Francisco,4,0,4,0,0,0,0,4,0,0,0,4,67995,"South San Francisco, California",-122.4077498,37.654656
California,Cities,Stockton,3,2,0,0,1,0,0,3,0,0,2,1,308348,"Stockton, California",-121.2907796,37.9577016
California,Cities,Suisun City,1,1,0,0,0,0,0,1,0,1,0,0,29768,"Suisun City, California",-122.040244,38.2382474
California,Cities,Sunnyvale,1,0,1,0,0,0,0,1,0,0,1,0,154108,"Sunnyvale, California",-122.0363496,37.36883
California,Cities,Thousand Oaks,1,0,1,0,0,0,0,1,0,1,0,0,129853,"Thousand Oaks, California",NA,NA
California,Cities,Torrance,1,0,1,0,0,0,0,1,0,0,1,0,149078,"Torrance, California",-118.3406288,33.8358492
California,Cities,Turlock,3,3,0,0,0,0,0,3,3,0,0,0,73031,"Turlock, California",NA,NA
California,Cities,Twentynine Palms,1,1,0,0,0,0,0,1,0,0,0,1,26213,"Twentynine Palms, California",-116.0541689,34.1355582
California,Cities,Ukiah,1,0,0,1,0,0,0,1,0,1,0,0,15897,"Ukiah, California",-123.2077831,39.1501709
California,Cities,Union City,1,0,0,1,0,0,0,1,0,1,0,0,75501,"Union City, California",-122.0438298,37.5933918
California,Cities,Vacaville,1,1,0,0,0,0,0,1,1,0,0,0,97671,"Vacaville, California",-121.9877444,38.3565773
California,Cities,Vallejo,2,2,0,0,0,0,0,2,0,0,1,1,122293,"Vallejo, California",-122.2566367,38.1040864
California,Cities,Ventura,3,2,0,1,0,0,0,3,0,1,1,1,110228,"Ventura, California",-119.2945199,34.2804923
California,Cities,Victorville,2,1,0,1,0,0,0,2,0,1,0,1,123438,"Victorville, California",-117.2927641,34.5362184
California,Cities,Walnut Creek,3,1,1,1,0,0,0,3,0,1,1,1,69860,"Walnut Creek, California",-122.0651819,37.9100783
California,Cities,Watsonville,1,0,1,0,0,0,0,1,1,0,0,0,54110,"Watsonville, California",-121.7568946,36.910231
California,Cities,West Covina,1,1,0,0,0,0,0,1,1,0,0,0,108950,"West Covina, California",-117.9389526,34.0686208
California,Cities,West Hollywood,7,2,0,5,0,0,0,7,0,2,2,3,36594,"West Hollywood, California",-118.3617443,34.0900091
California,Cities,Westminster,4,3,0,1,0,0,0,4,3,0,1,0,92582,"Westminster, California",-117.9897058,33.7591757
California,Cities,Wildomar,1,1,0,0,0,0,0,1,0,0,0,1,36310,"Wildomar, California",-117.2800372,33.5989126
California,Cities,Windsor,2,2,0,0,0,0,0,2,1,0,0,1,27594,"Windsor, California",-122.8163802,38.5471327
California,Universities and Colleges,"California State Polytechnic University, San Luis Obispo",1,1,0,0,0,0,0,1,1,0,0,0,20944,"California State Polytechnic University, San Luis Obispo, California",-120.6624942,35.3050053
California,Universities and Colleges,California State University: Dominguez Hills,4,4,0,0,0,0,0,4,2,0,0,2,14635,"California State University: Dominguez Hills, California",-118.2552809,33.8633706
California,Universities and Colleges,California State University: Fullerton,1,0,0,1,0,0,0,1,0,1,0,0,38948,"California State University: Fullerton, California",NA,NA
California,Universities and Colleges,California State University: Long Beach,2,2,0,0,0,0,0,2,0,0,2,0,37446,"California State University: Long Beach, California",-118.1140904,33.7838235
California,Universities and Colleges,California State University: San Jose,5,5,0,0,0,0,0,5,0,0,1,4,32773,"California State University: San Jose, California",-121.8810715,37.3351874
California,Universities and Colleges,California State University: Stanislaus,1,0,0,1,0,0,0,1,1,0,0,0,9282,"California State University: Stanislaus, California",-120.8562309,37.5251853
California,Universities and Colleges,Foothill-De Anza College,2,0,0,1,0,0,1,2,1,1,0,0,37960,"Foothill-De Anza College, California",-122.1271421,37.3620489
California,Universities and Colleges,Humboldt State University,3,1,1,1,0,0,0,3,0,2,1,0,8790,"Humboldt State University, California",NA,NA
California,Universities and Colleges,Riverside Community College,1,0,1,0,0,0,0,1,0,0,0,1,37594,"Riverside Community College, California",NA,NA
California,Universities and Colleges,San Diego State University,3,3,0,0,0,0,0,3,1,1,0,1,34254,"San Diego State University, California",-117.0718893,32.77572170000001
