"State","Agency_Type","Agency_name","Total_incidents_bias_motivation","Bias_Motivation_Race_Ethnicity_Ancestry","Bias_Motivation_Religion","Bias_Motivation_Sexual_orientation","Bias_Motivation_Disability","Bias_Motivation_Gender","Bias_Motivation_Gender_Identity","Total_incidents_Q1_to_Q4","No_of_incidents_Q1","No_of_incidents_Q2","No_of_incidents_Q3","No_of_incidents_Q4","Population"
"California","Cities","Santee",1,0,1,0,0,0,0,1,0,0,0,1,"58,651"
"California","Cities","Sebastopol",1,1,0,0,0,0,0,1,0,1,0,0,"7,734"
"California","Cities","Simi Valley",2,1,1,0,0,0,0,2,0,1,0,1,"127,252"
"California","Cities","Solvang",1,0,0,1,0,0,0,1,0,0,1,0,"5,844"
"California","Cities","Sonoma",1,1,0,0,0,0,0,1,1,0,0,0,"11,113"
"California","Cities","Sonora",1,1,0,0,0,0,0,1,0,0,0,1,"4,802"
"California","Cities","South Gate",2,0,1,1,0,0,0,2,0,0,1,1,"96,791"
"California","Cities","South San Francisco",4,0,4,0,0,0,0,4,0,0,0,4,"67,995"
"California","Cities","Stockton",3,2,0,0,1,0,0,3,0,0,2,1,"308,348"
"California","Cities","Suisun City",1,1,0,0,0,0,0,1,0,1,0,0,"29,768"
"California","Cities","Sunnyvale",1,0,1,0,0,0,0,1,0,0,1,0,"154,108"
"California","Cities","Thousand Oaks",1,0,1,0,0,0,0,1,0,1,0,0,"129,853"
"California","Cities","Torrance",1,0,1,0,0,0,0,1,0,0,1,0,"149,078"
"California","Cities","Turlock",3,3,0,0,0,0,0,3,3,0,0,0,"73,031"
"California","Cities","Twentynine Palms",1,1,0,0,0,0,0,1,0,0,0,1,"26,213"
"California","Cities","Ukiah",1,0,0,1,0,0,0,1,0,1,0,0,"15,897"
"California","Cities","Union City",1,0,0,1,0,0,0,1,0,1,0,0,"75,501"
"California","Cities","Vacaville",1,1,0,0,0,0,0,1,1,0,0,0,"97,671"
"California","Cities","Vallejo",2,2,0,0,0,0,0,2,0,0,1,1,"122,293"
"California","Cities","Ventura",3,2,0,1,0,0,0,3,0,1,1,1,"110,228"
"California","Cities","Victorville",2,1,0,1,0,0,0,2,0,1,0,1,"123,438"
"California","Cities","Walnut Creek",3,1,1,1,0,0,0,3,0,1,1,1,"69,860"
"California","Cities","Watsonville",1,0,1,0,0,0,0,1,1,0,0,0,"54,110"
"California","Cities","West Covina",1,1,0,0,0,0,0,1,1,0,0,0,"108,950"
"California","Cities","West Hollywood",7,2,0,5,0,0,0,7,0,2,2,3,"36,594"
"California","Cities","Westminster",4,3,0,1,0,0,0,4,3,0,1,0,"92,582"
"California","Cities","Wildomar",1,1,0,0,0,0,0,1,0,0,0,1,"36,310"
"California","Cities","Windsor",2,2,0,0,0,0,0,2,1,0,0,1,"27,594"
"California","Universities and Colleges","California State Polytechnic University, San Luis Obispo",1,1,0,0,0,0,0,1,1,0,0,0,"20,944"
"California","Universities and Colleges","California State University: Dominguez Hills",4,4,0,0,0,0,0,4,2,0,0,2,"14,635"
"California","Universities and Colleges","California State University: Fullerton",1,0,0,1,0,0,0,1,0,1,0,0,"38,948"
"California","Universities and Colleges","California State University: Long Beach",2,2,0,0,0,0,0,2,0,0,2,0,"37,446"
"California","Universities and Colleges","California State University: San Jose",5,5,0,0,0,0,0,5,0,0,1,4,"32,773"
"California","Universities and Colleges","California State University: Stanislaus",1,0,0,1,0,0,0,1,1,0,0,0,"9,282"
"California","Universities and Colleges","Foothill-De Anza College",2,0,0,1,0,0,1,2,1,1,0,0,"37,960"
"California","Universities and Colleges","Humboldt State University",3,1,1,1,0,0,0,3,0,2,1,0,"8,790"
"California","Universities and Colleges","Riverside Community College",1,0,1,0,0,0,0,1,0,0,0,1,"37,594"
"California","Universities and Colleges","San Diego State University",3,3,0,0,0,0,0,3,1,1,0,1,"34,254"
"California","Universities and Colleges","University of California: Berkeley",4,1,2,1,0,0,0,4,1,1,0,2,"38,189"
"California","Universities and Colleges","University of California: Davis",1,1,0,0,0,0,0,1,1,0,0,0,"35,186"
"California","Universities and Colleges","University of California: Los Angeles",4,2,1,1,0,0,0,4,2,0,1,1,"41,908"
"California","Universities and Colleges","University of California: Riverside",1,0,1,0,0,0,0,1,1,0,0,0,"21,385"
"California","Universities and Colleges","University of California: San Diego",3,2,0,1,0,0,0,3,0,2,0,1,"32,906"
"California","Universities and Colleges","University of California: San Francisco",1,0,1,0,0,0,0,1,0,0,0,1,"3,107"
